@relation MaxNMACDataset

@attribute generation numeric
@attribute selfDestDist numeric
@attribute selfDestAngle numeric
@attribute headOnSelected numeric
@attribute headOnOffset numeric
@attribute headOnIsRightSide numeric
@attribute headOnSpeed numeric
@attribute crossingSelected numeric
@attribute crossingEncounterAngle numeric
@attribute crossingIsRightSide numeric
@attribute crossingSpeed numeric
@attribute tailApproachSelected numeric
@attribute tailApproachOffset numeric
@attribute tailApproachIsRightSide numeric
@attribute tailApproachSpeed numeric
@attribute fitness numeric
@attribute accident numeric

@data
0,52.834469,-1.620837,-0.674832,2.700004,-0.301623,1.301207,-1,-2.119781,-0.61587,1.175463,-1,2.701157,-0.018392,2.203381,0,0
0,66.239845,0.782998,-0.211436,1.078385,0.01935,2.314084,-1,0.817882,0.937108,1.595806,-1,1.982369,-0.18599,2.477338,0,0
0,63.813268,-0.448348,-0.571367,0.93745,-0.440843,2.038716,-1,0.451016,0.465599,1.943783,-1,2.395759,-0.513254,2.004643,0,0
0,51.246957,-2.037156,0.595167,0.031193,-0.912529,1.338013,-1,-0.412837,0.949023,1.913747,-1,4.232323,0.10837,2.42854,0.702631,1
0,68.757711,1.441894,-0.435849,3.255097,-0.583723,2.244769,-1,1.729487,-0.68805,2.269476,-1,0.918388,-0.515494,2.327401,0,0
0,50.703653,-2.077794,0.875489,1.804734,0.761368,2.070109,-1,-2.333546,0.809746,2.482494,-1,1.129083,-0.203882,2.114272,0.662523,0
0,40.472755,2.85045,-0.364904,0.51063,0.195632,2.356822,-1,1.576999,-0.846108,2.359707,-1,1.581932,0.52505,2.443605,0,0
0,66.631397,-0.033425,-0.702254,2.903206,0.595386,2.195772,-1,-1.834984,-0.781427,1.509269,-1,4.476527,-0.105327,2.171078,0,0
0,55.232087,-1.607651,0.723801,3.831554,0.427526,1.902902,-1,-0.148105,-0.65493,1.223466,-1,1.695949,-0.816672,2.395643,0.296783,0
0,59.007825,2.483234,0.955856,0.670224,0.921174,2.048978,-1,-2.352973,0.447041,1.990779,-1,3.195344,0.551483,2.453121,0.620331,1
0,43.579812,-0.709342,-0.285483,1.261842,-0.708001,1.850835,-1,-0.840263,0.047105,1.977681,-1,2.721728,-0.211917,2.427527,0,0
0,58.309582,1.745895,-0.283962,4.227382,-0.928039,1.934523,-1,-2.821741,0.784458,2.297629,-1,3.507616,0.877736,2.468846,0,0
0,51.804053,-1.265062,0.425058,2.10124,0.498967,1.751147,-1,-2.936722,0.001709,1.230462,-1,1.094751,-0.248237,2.245433,0.736671,1
0,59.403783,1.492643,0.896601,0.989151,-0.23816,1.141835,-1,0.573869,0.073357,1.553898,-1,2.832513,-0.200239,2.30954,1,1
0,61.974359,-2.295801,0.264576,4.436076,0.47373,1.367016,-1,-1.507094,-0.361517,1.537927,-1,2.314793,0.03346,2.16673,0.367053,0
0,52.775709,-1.545524,-0.432065,2.145686,-0.656095,1.536268,-1,1.453405,0.161872,1.512681,-1,3.149129,-0.893869,2.09989,0,0
0,43.266997,-2.432848,-0.151337,1.757267,0.030788,1.356446,-1,-0.923792,0.553727,2.051501,-1,0.658037,0.771998,2.331164,0,0
0,55.513531,-1.338019,0.782009,0.055225,-0.233976,2.484388,-1,2.047473,-0.090221,1.078596,-1,4.901506,-0.93585,2.242878,0.521035,1
0,40.988074,0.636413,-0.237463,4.136067,0.621256,1.852869,-1,-2.334965,0.558806,1.69023,-1,3.177742,-0.473452,2.101532,0,0
0,42.799261,1.126866,0.994805,3.439968,-0.542337,1.644175,-1,-2.621615,0.907416,1.220498,-1,3.478457,-0.189221,2.435261,0.388399,0
0,59.670445,3.028214,0.899583,1.188591,-0.844901,1.559791,-1,0.739091,-0.300479,2.307909,-1,4.948385,0.568624,2.484043,0.656969,0
0,53.540614,2.846886,-0.357034,2.890186,-0.557229,1.659436,-1,0.32783,-0.852563,1.442354,-1,2.132006,-0.830684,2.441909,0,0
0,41.05394,2.681908,-0.963861,1.82816,-0.264744,1.937484,-1,0.994694,-0.099374,1.88013,-1,1.645407,-0.480186,2.239447,0,0
0,58.75748,-0.989798,0.683373,0.825741,0.726387,1.448126,-1,0.24399,-0.707747,1.94996,-1,1.256265,-0.044146,2.020594,1,1
0,41.207498,-1.668799,-0.71421,0.382237,0.893494,2.07017,-1,-0.263337,0.80024,2.174828,-1,1.166801,0.047419,2.160997,0,0
0,61.285078,0.288636,0.033774,0.155755,-0.44786,2.235811,-1,-1.01898,-0.701532,2.107155,-1,4.627638,-0.508826,2.174645,0.517285,0
0,53.654368,-1.573769,0.968761,4.189946,0.416629,2.396786,-1,1.95339,-0.917231,2.247421,-1,4.261975,-0.862726,2.399481,0.302589,0
0,45.687608,1.86612,-0.904829,1.458092,-0.767823,1.021033,-1,2.618435,-0.149585,1.923788,-1,4.93682,0.17725,2.299,0,0
0,42.13757,1.565358,-0.513992,0.41278,0.213661,1.616449,-1,0.375498,0.461223,2.176964,-1,3.475332,-0.868048,2.124314,0,0
0,44.680485,-2.892079,-0.368225,3.647144,0.713886,2.181381,-1,-1.256388,-0.965932,1.672453,-1,3.726608,-0.030688,2.077321,0,0
0,48.20738,1.154832,0.203592,3.765393,0.991097,2.289075,-1,-2.098708,-0.961233,1.415265,-1,4.467549,0.17352,2.056694,0.335594,0
0,66.157129,0.989931,-0.593924,3.880439,-0.949356,2.361282,-1,-1.488739,0.375313,1.842968,-1,3.130401,-0.513592,2.226091,0,0
0,42.254503,2.896132,0.212143,0.592755,0.996171,1.386551,-1,0.627567,0.246573,1.209452,-1,1.246081,0.720216,2.304362,1,1
0,45.796073,-3.015763,-0.817191,4.515644,-0.06815,2.021196,-1,-1.823984,0.241911,1.705366,-1,3.821883,0.127962,2.313981,0,0
0,43.139042,-0.159363,-0.3997,0.593835,-0.764913,1.680811,-1,2.36835,0.386158,1.910378,-1,2.559856,0.505262,2.476203,0,0
0,67.250325,-0.167364,-0.723978,0.853339,-0.194094,1.617316,-1,0.780778,0.814867,1.37368,-1,4.491775,-0.144889,2.316616,0,0
0,64.380516,-2.348667,-0.454762,2.690588,-0.232012,2.148838,-1,1.698723,0.436256,1.843819,-1,0.767817,0.818746,2.191642,0,0
0,59.420546,3.051266,0.498313,4.105544,-0.961339,1.410097,-1,2.804923,-0.732009,1.223209,-1,4.464735,-0.477997,2.342828,0.397587,0
0,54.540229,0.840396,0.684709,2.904843,-0.365687,1.601118,-1,-1.061353,0.812895,1.211591,-1,0.093707,-0.190245,2.065618,0.451513,0
0,57.849958,-0.918605,0.653353,4.96812,-0.626725,1.66377,-1,-0.796742,-0.187114,1.808148,-1,0.387419,-0.826744,2.443497,0.354132,0
0,51.904587,2.167058,0.889579,1.427968,-0.47171,1.646486,-1,-2.539241,0.671893,1.620323,-1,2.228364,0.856146,2.230612,0.702103,0
0,48.106838,0.511374,0.782964,4.650795,-0.304128,1.908459,-1,-0.601704,-0.696084,1.474262,-1,1.794058,-0.515882,2.181842,0.343022,0
0,46.465859,1.684137,0.254782,0.09148,-0.753181,1.197878,-1,-0.664278,0.155505,2.426813,-1,3.099992,0.090631,2.099679,0.958928,1
0,58.887553,-0.284359,-0.222082,2.839432,0.482854,1.627757,-1,-2.017514,0.862657,2.235062,-1,4.017961,-0.194893,2.458854,0,0
0,62.453305,1.230276,-0.122453,2.379175,-0.619101,1.228469,-1,2.282065,0.664458,2.301204,-1,4.83474,0.511892,2.494207,0,0
0,54.62071,0.389293,-0.046234,1.17702,-0.2124,1.617677,-1,-1.81883,-0.825225,1.48986,-1,1.546942,-0.54814,2.164064,0,0
0,45.227,-1.576201,0.721782,3.583307,0.185336,1.433729,-1,-0.066378,-0.506236,1.547158,-1,0.067573,-0.947782,2.444575,0.395746,0
0,57.365166,-0.617459,-0.173929,3.197609,-0.569311,1.346793,-1,-2.375844,0.545614,1.171956,-1,0.184239,-0.970595,2.076448,0,0
0,65.11423,-1.838965,0.357509,2.239207,-0.219786,1.692624,-1,-0.472724,0.603181,1.689929,-1,3.382544,0.869626,2.404198,0.779841,0
0,51.870411,-1.842121,-0.569468,4.726854,-0.451942,2.223977,-1,0.496288,0.913043,1.544306,-1,4.741667,-0.273151,2.24455,0,0
0,54.725648,0.404492,0.448195,4.104665,-0.964584,1.530489,-1,-0.452132,0.464144,1.549087,-1,0.721355,-0.384993,2.02162,0.354876,0
0,64.417254,0.922199,-0.261286,3.852371,-0.783248,1.104998,-1,1.876467,0.858112,1.656528,-1,3.898487,-0.430839,2.408696,0,0
0,57.570515,0.626907,0.769771,0.808012,-0.861332,1.168696,-1,1.88778,0.986819,1.189527,-1,2.839279,-0.722296,2.11061,0.749129,0
0,67.281983,-1.068921,-0.992857,4.379092,-0.068027,1.227995,-1,1.987575,-0.669664,1.951657,-1,1.608216,-0.426512,2.180261,0,0
0,66.901252,2.052259,-0.857032,2.17013,-0.81778,1.757998,-1,2.156672,0.464738,1.112381,-1,1.810605,0.462662,2.20398,0,0
0,53.011787,1.534455,-0.165574,3.797739,0.709799,1.195512,-1,0.008117,-0.223432,1.340007,-1,1.196181,-0.014382,2.321573,0,0
0,50.235187,-2.601616,0.174112,1.619494,-0.772194,2.032838,-1,2.599766,-0.095537,1.512132,-1,3.865569,-0.635005,2.293271,0.94561,1
0,67.101597,-2.217837,0.903689,1.536092,-0.131491,1.136203,-1,-2.390864,0.071971,1.049493,-1,1.501445,-0.730746,2.14357,0.900955,0
0,60.749481,0.531812,0.75186,1.756933,0.233914,1.179087,-1,-1.492115,0.693615,1.94248,-1,3.542854,-0.411844,2.459837,0.885331,1
0,49.024392,-0.015497,-0.565594,4.746466,0.872472,1.838228,-1,1.707975,-0.229548,2.323786,-1,3.930429,-0.748485,2.265544,0,0
0,43.725752,0.967649,-0.116995,2.329272,-0.442247,2.33825,-1,-1.85606,0.590683,1.999742,-1,4.462737,-0.065984,2.433043,0,0
0,50.063893,-0.327919,0.874986,2.451994,-0.786177,1.108235,-1,0.192705,0.346332,1.059906,-1,2.260185,0.61899,2.26651,0.659234,0
0,48.116263,-2.517345,-0.101688,4.115287,-0.661688,1.653329,-1,1.088194,-0.253841,1.731416,-1,4.834306,-0.600995,2.212151,0,0
0,42.022364,2.068449,-0.003083,0.960683,0.363908,2.142402,-1,2.679561,-0.529019,1.741209,-1,3.809805,0.804094,2.456552,0,0
0,69.675527,-1.745029,0.584877,1.139505,-0.004985,1.363835,-1,-1.870936,-0.343644,1.087097,-1,3.448324,-0.692036,2.075397,0.644247,0
0,56.533479,-0.109858,-0.91588,1.183562,-0.912177,2.100908,-1,0.122351,0.396602,1.664778,-1,1.17318,-0.555761,2.384673,0,0
0,67.106758,0.481166,0.171024,1.292996,0.657536,1.944468,-1,-2.834981,-0.172125,1.075513,-1,0.113595,-0.086079,2.400012,1,1
0,58.943322,0.246831,-0.945676,0.268457,0.290748,1.782973,-1,0.893336,-0.934128,1.430542,-1,2.698063,-0.126586,2.201037,0,0
0,46.934384,-2.821285,0.925515,4.567093,-0.924977,1.200324,-1,0.645687,0.508791,1.48837,-1,0.981324,-0.461453,2.138576,0.359021,0
0,44.296794,0.91638,0.469018,0.575098,0.752358,2.107453,-1,-1.977608,0.192306,1.227027,-1,0.906641,-0.900555,2.224552,0.838078,1
0,63.230796,0.192884,0.64704,3.801665,-0.175151,1.261259,-1,0.522216,0.565642,1.522454,-1,4.177536,-0.093277,2.152293,0.399487,0
