@relation MaxOscillationDataset

@attribute generation numeric
@attribute selfDestDist numeric
@attribute selfDestAngle numeric
@attribute headOnSelected numeric
@attribute headOnOffset numeric
@attribute headOnIsRightSide numeric
@attribute headOnSpeed numeric
@attribute crossingSelected numeric
@attribute crossingEncounterAngle numeric
@attribute crossingIsRightSide numeric
@attribute crossingSpeed numeric
@attribute tailApproachSelected numeric
@attribute tailApproachOffset numeric
@attribute tailApproachIsRightSide numeric
@attribute tailApproachSpeed numeric
@attribute fitness numeric
@attribute accident numeric

@data
0,50.447072,1.550977,0.286906,2.223061,0.902067,1.275873,-1,1.881752,0.827417,2.448426,-1,1.268127,0.694856,2.336461,0.125149,0
0,44.01317,2.332391,0.162708,2.685712,-0.039861,1.925397,-1,-0.751332,-0.292275,1.210332,-1,0.857886,0.550542,2.345238,0.097512,0
0,53.163351,1.689999,0.623367,1.014661,0.588076,1.060458,-1,2.937197,-0.661819,1.862462,-1,4.694117,-0.860994,2.273186,0.35158,1
0,64.771779,1.318568,0.282624,4.230426,0.45921,2.159406,-1,-0.248574,-0.714708,2.14589,-1,4.510892,-0.870015,2.025233,0.057834,0
0,50.664067,1.880286,-0.563482,3.65124,0.751888,2.245142,-1,-0.456331,-0.877937,2.496106,-1,3.379147,0.443719,2.410053,0,0
0,47.385298,-2.886712,0.321642,1.862657,0.902833,2.210394,-1,-0.209567,-0.818164,2.190786,-1,4.876991,0.027485,2.40851,0.201987,0
0,44.642054,2.951174,0.98135,4.190468,0.420544,2.07393,-1,1.442212,0.345684,2.329779,-1,0.124942,0.237734,2.061524,0.078093,0
0,58.815893,-0.651729,0.000939,1.390291,-0.315555,2.064606,-1,2.490547,0.760318,1.242737,-1,3.671691,0.435921,2.256876,0.293108,1
0,40.105843,1.504939,-0.761453,0.863491,-0.929483,1.502439,-1,-1.326177,0.729487,1.047613,-1,0.156724,0.511452,2.082588,0,0
0,61.790447,2.71057,-0.896863,0.06147,-0.392386,2.132459,-1,-0.659376,-0.786749,2.346176,-1,2.759552,0.20483,2.339189,0,0
0,49.860735,-1.710559,0.455177,1.475451,-0.059213,2.071311,-1,-1.038234,-0.717611,1.507218,-1,1.778911,-0.065434,2.334792,0.423915,1
0,46.486229,-3.044633,-0.463148,1.442825,0.329304,1.159041,-1,-0.128335,-0.350267,1.67215,-1,2.934243,0.199596,2.159499,0,0
0,57.83025,2.126615,0.893592,3.490541,-0.087462,1.959482,-1,-2.446848,0.010823,1.592089,-1,1.303473,-0.442797,2.117744,0.035569,0
0,57.699398,-0.493784,0.770835,2.416791,-0.455553,1.707823,-1,2.418806,0.458651,2.372816,-1,4.375572,0.219352,2.402413,0.205047,0
0,55.124538,0.218676,0.051558,1.039449,-0.69072,1.492741,-1,-1.343545,0.211908,2.041176,-1,1.851139,-0.825633,2.234754,0.187081,0
0,55.561185,-0.983855,0.297422,0.063852,-0.630271,2.113767,-1,2.346674,0.655199,2.054989,-1,2.875067,-0.069127,2.329425,0.150747,0
0,69.15015,2.838556,-0.580841,2.266006,0.101447,1.530125,-1,-0.196779,0.1069,1.477267,-1,1.030022,0.300808,2.494422,0,0
0,48.893109,-0.446062,-0.078974,4.240178,0.984442,1.195438,-1,1.994124,-0.346974,1.732679,-1,1.465831,-0.45327,2.305167,0,0
0,67.897827,-2.191072,-0.61076,3.474242,0.027627,1.94689,-1,-1.617339,-0.219867,1.837254,-1,4.990602,-0.974792,2.037827,0,0
0,53.48256,1.604491,0.155477,3.059994,0.436768,1.653666,-1,-0.711069,-0.464476,1.400875,-1,0.983971,-0.700096,2.261044,0.071542,0
0,59.612672,1.193889,0.285055,3.784613,-0.79615,1.417884,-1,-2.785999,-0.179483,2.193363,-1,4.986536,-0.454789,2.118695,0.051661,0
0,43.628902,1.909838,0.81046,0.648216,-0.289898,1.470885,-1,2.497109,0.965039,1.594649,-1,1.501762,0.437958,2.304052,0.236541,0
0,52.683646,0.962981,-0.966272,0.759519,-0.572594,1.695196,-1,-1.498706,0.266153,1.519375,-1,4.920275,-0.765136,2.408448,0,0
0,60.676532,2.49799,-0.28146,4.110172,-0.145597,1.648647,-1,-0.9913,0.771454,1.494462,-1,2.550892,0.885682,2.025667,0,0
0,55.17372,-2.464539,0.788127,2.754314,-0.565638,1.714955,-1,-0.302044,0.730589,1.420707,-1,4.168274,-0.467857,2.000944,0.040516,0
0,41.064326,2.671831,0.041964,3.896362,0.653941,1.525051,-1,-0.954341,-0.014306,1.303737,-1,1.586887,0.774005,2.427468,0.027636,0
0,42.621233,3.065539,0.984392,1.546629,-0.411728,1.658862,-1,1.5442,0.365741,1.147082,-1,0.756429,0.048897,2.411995,0.426303,1
0,45.300654,2.608383,0.681491,3.900999,-0.41253,1.207132,-1,-1.71307,0.06651,1.704795,-1,1.43716,0.734368,2.192045,0.008726,0
0,48.310887,1.372412,0.038958,2.440281,-0.115241,1.561987,-1,0.493823,0.520191,1.068549,-1,0.116709,-0.800267,2.237823,0.178653,0
0,46.87196,-0.793412,0.637918,1.40134,-0.668369,1.862837,-1,0.746564,0.99465,1.621495,-1,0.235911,-0.507731,2.293991,0.523615,1
0,61.711532,1.313719,-0.868157,1.765132,0.349297,2.056158,-1,2.572813,0.910436,1.092087,-1,0.139378,0.200938,2.447293,0,0
0,69.471351,2.524593,-0.807251,1.132459,-0.129585,2.142629,-1,2.365267,-0.21269,1.793876,-1,1.403264,-0.602954,2.047624,0,0
0,68.867309,-1.992145,0.552799,1.029625,-0.884864,1.491666,-1,1.537365,-0.267147,1.934852,-1,0.232209,0.292484,2.376521,0.144396,0
0,58.175355,-2.687452,0.184432,1.411261,0.288893,2.404711,-1,-1.636037,-0.696877,2.372232,-1,4.675652,-0.864164,2.298641,0.304029,1
0,45.908441,1.11205,0.451545,1.97868,0.308665,1.603052,-1,0.468295,-0.25014,2.232591,-1,3.153085,-0.354707,2.209258,0.194299,0
0,56.401446,0.131663,0.445153,1.44963,-0.368958,2.472326,-1,-0.79826,-0.961977,2.110686,-1,2.070656,-0.863974,2.127562,0.215103,0
0,42.278993,-1.714663,0.522115,0.312853,0.828024,2.450343,-1,0.819898,0.050815,1.809677,-1,1.22846,0.807019,2.488805,0.241441,0
0,68.857239,-2.003811,0.916342,1.869925,-0.558314,2.339352,-1,-2.921892,0.066741,1.139106,-1,2.790438,0.632245,2.042717,0.083982,0
0,65.516454,-0.17806,-0.650452,2.201662,0.025441,2.095586,-1,2.875616,0.815332,2.053313,-1,4.950547,0.141516,2.220351,0,0
0,69.816341,-0.76984,0.077459,1.944526,-0.063211,1.710456,-1,0.707433,-0.599834,1.608765,-1,4.758349,0.886281,2.086825,0.27478,1
0,64.812171,2.965886,-0.508375,3.174102,0.243438,1.482586,-1,-1.862609,-0.434265,2.277896,-1,3.307611,-0.881416,2.463856,0,0
0,63.731175,-2.935602,-0.964034,2.003951,0.496469,1.637788,-1,-2.49297,-0.747735,1.310492,-1,2.337727,-0.379327,2.266064,0,0
0,51.66413,0.391434,-0.583835,4.730331,0.404993,1.710731,-1,0.625704,0.383905,1.725163,-1,3.531331,0.465202,2.186037,0,0
0,59.091527,-2.134872,-0.509851,1.160112,-0.576322,2.258879,-1,-0.380701,0.952972,1.951343,-1,4.878776,-0.73088,2.063979,0,0
0,42.880535,-0.99858,0.551118,4.883432,-0.968414,1.874198,-1,-2.695166,0.888285,2.291439,-1,1.424295,-0.159438,2.217785,0.019179,0
0,40.3287,-2.736472,0.53271,2.2307,-0.418361,2.088125,-1,-0.793581,0.932945,1.041988,-1,2.462476,0.421402,2.400713,0.175659,0
0,58.192461,2.010869,-0.582682,0.971546,-0.378296,2.431435,-1,-2.684316,-0.43687,2.100565,-1,2.415493,0.576929,2.302635,0,0
0,64.531093,2.443053,-0.276118,1.828898,-0.684688,1.375046,-1,0.793149,-0.281799,1.656891,-1,1.838705,0.604807,2.197261,0,0
0,57.070428,0.913967,0.709873,2.157906,-0.167185,1.049273,-1,2.998414,-0.052431,1.459305,-1,3.773314,0.79415,2.400346,0.121811,0
0,69.843598,-2.001343,-0.530387,0.461776,-0.362779,1.955063,-1,-1.620101,0.131605,2.35636,-1,2.884889,0.771795,2.065188,0,0
0,67.749711,2.944794,-0.395929,3.113217,-0.084263,1.93255,-1,-0.023761,0.372307,2.348485,-1,1.624655,-0.133799,2.22494,0,0
0,49.045515,-2.331301,-0.603118,1.93718,0.661966,2.088195,-1,0.545523,0.309626,1.15107,-1,4.861051,-0.989803,2.202792,0,0
0,55.689308,-0.896411,0.166938,2.592183,0.190628,1.430459,-1,-0.326084,-0.177656,1.682922,-1,1.285266,0.495794,2.043635,0.077091,0
0,42.237087,2.472761,0.863783,1.465789,0.515876,1.391692,-1,0.610624,-0.221501,1.973002,-1,1.387845,-0.319486,2.437905,0.208241,0
0,49.183183,-1.463467,0.838994,4.12082,-0.444838,1.691383,-1,1.122385,0.11786,2.405131,-1,4.88795,0.736509,2.2965,0.077216,0
0,57.993162,-0.897132,0.579899,4.606588,0.170316,1.536156,-1,-0.406887,-0.934005,1.707203,-1,2.398084,0.661329,2.104969,0.041412,0
0,68.507639,1.276731,-0.670044,2.370319,-0.006751,1.09283,-1,-1.908367,-0.355633,2.321253,-1,2.256166,-0.478392,2.243811,0,0
